"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"95","경기도 성남시 수정구 시흥동","342","0342","0000","판교 디앤써밋 에디션","27.4100","202512","12","35,000","7","개인","개인","2023"," ","-","중개거래","서울 성동구"
"96","경기도 성남시 수정구 시흥동","342","0342","0000","판교 디앤써밋 에디션","27.4100","202512","12","35,000","8","개인","개인","2023"," ","-","중개거래","서울 성동구"
"97","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","60.5500","202512","08","32,500","8","개인","개인","2010","성남대로 1244","20251221","중개거래","경기 성남시 수정구"
"98","경기도 성남시 수정구 창곡동","559-7","0559","0007","위례 헤리움","39.4600","202512","06","39,000","12","개인","개인","2018","위례서일로 30","-","중개거래","경기 성남시 수정구"
"99","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.3200","202512","03","12,500","5","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"100","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.3200","202512","01","12,500","11","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"101","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","29.6900","202511","26","30,000","18","개인","법인","2018","위례광장로 21-9","-","중개거래","경기 성남시 수정구"
"102","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","62.6500","202511","25","34,500","9","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"103","경기도 성남시 수정구 창곡동","559-7","0559","0007","위례 헤리움","39.4600","202511","20","40,400","8","개인","개인","2018","위례서일로 30","-","중개거래","경기 성남시 수정구"
"104","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202511","18","33,500","11","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"105","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202511","18","34,000","9","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"106","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","65.9400","202511","17","72,000","16","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"107","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","65.9400","202511","13","72,000","16","개인","개인","2017"," ","20251117","중개거래","경기 성남시 수정구"
"108","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","23.4300","202511","12","20,500","7","법인","개인","2018","위례광장로 21-9","-","중개거래","경기 성남시 수정구"
"109","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","30.2000","202511","11","15,800","9","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"110","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202511","10","21,900","18","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"111","경기도 성남시 수정구 태평동","3520","3520","0000","다온 아트리움","64.4700","202511","10","32,000","7","개인","개인","2021","탄리로 77","-","중개거래","경기 성남시 수정구"
"112","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","25.9200","202511","08","11,300","15","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"113","경기도 성남시 수정구 태평동","3520","3520","0000","다온 아트리움","56.7720","202511","08","28,500","8","개인","개인","2021","탄리로 77","-","중개거래","경기 성남시 수정구"
"114","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202511","07","33,500","9","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"115","경기도 성남시 수정구 신흥동","3438","3438","0000","비앤비그라티아","17.7350","202511","06","12,000","5","개인","개인","2019","시민로 168-1","-","중개거래","경기 성남시 수정구"
"116","경기도 성남시 수정구 태평동","6519-1","6519","0001","태평동오피스텔","27.8700","202511","05","12,000","6","개인","개인","2003","수정로73번길 7","-","중개거래","경기 성남시 수정구"
"117","경기도 성남시 수정구 신흥동","2555","2555","0000","더 하우스 스테이션","59.4700","202511","04","30,000","5","개인","개인","2018","공원로339번길 3-1","-","중개거래","경기 성남시 수정구"
"118","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202511","01","35,300","8","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
