"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"92","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","59.9000","202604","13","103,500","-","20","개인","개인","2023","금광로 40","-","중개거래","경기 성남시 중원구","-"
"93","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9500","202604","13","102,000","-","11","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구","-"
"94","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","83.8200","202604","13","89,900","-","13","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"95","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","84.6300","202604","13","80,000","-","2","개인","개인","1995","자혜로17번길 16","-","중개거래","경기 성남시 중원구","-"
"96","경기도 성남시 중원구 은행동","1740","1740","0000","은빛마을(두산위브)","56.6448","202604","13","60,000","-","1","개인","개인","2003","은행로 13","-","중개거래","경기 성남시 중원구","-"
"97","경기도 성남시 중원구 중앙동","3006","3006","0000","신흥역하늘채랜더스원2단지","59.8800","202604","13","119,900","-","13","개인","개인","2022","광명로 204","-","중개거래","경기 성남시 중원구","-"
"98","경기도 성남시 중원구 상대원동","152-3","0152","0003","상대원삼익","34.0500","202604","12","24,400","-","11","개인","개인","1991","사기막골로31번길 34","-","중개거래","경기 성남시 중원구","-"
"99","경기도 성남시 중원구 금광동","2600","2600","0000","한양수자인성남마크뷰","50.3668","202604","12","76,500","-","19","개인","개인","2021","광명로 411","-","중개거래","경기 성남시 중원구","-"
"100","경기도 성남시 중원구 하대원동","117","0117","0000","신영뷰티","71.7710","202604","11","47,500","-","4","개인","개인","2004","둔촌대로 196","-","중개거래","경기 성남시 중원구","-"
"101","경기도 성남시 중원구 하대원동","539","0539","0000","성남자이","84.9900","202604","11","80,000","-","11","개인","개인","2007","둔촌대로 363","-","중개거래","경기 성남시 중원구","-"
"102","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","83.7700","202604","11","86,000","-","6","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"103","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","61.5200","202604","11","73,000","-","15","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"104","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","11","47,000","-","2","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"105","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","11","49,900","-","7","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"106","경기도 성남시 중원구 상대원동","174","0174","0000","산성","71.2800","202604","11","39,000","-","1","개인","개인","1997","사기막골로150번길 10","-","중개거래","경기 성남시 중원구","-"
"107","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","11","49,500","-","6","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
