"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"76","경기도 성남시 중원구 도촌동","708","0708","0000","휴먼시아섬마을9단지(임대)","월세","36.9800","202604","23","2,152","18","9","2008","도촌남로 148","202605~202804","갱신","-","2,049","17","아파트"
"77","경기도 성남시 중원구 성남동","2992","2992","0000","중앙","전세","41.6400","202604","23","19,000","0","6","1988","원터로93번길 19","202605~202805","신규","-","","","아파트"
"78","경기도 성남시 중원구 금광동","1016","1016","0000","e편한세상금빛그랑메종4단지","전세","59.9500","202604","22","56,500","0","17","2023","금광로 71","202607~202807","신규","-","","","아파트"
"79","경기도 성남시 중원구 금광동","2600","2600","0000","한양수자인성남마크뷰","전세","59.8423","202604","22","56,000","0","19","2021","광명로 411","202607~202807","신규","-","","","아파트"
"80","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","월세","84.6300","202604","22","25,000","80","14","1995","자혜로17번길 16","202609~202809","신규","-","","","아파트"
"81","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","전세","51.9300","202604","22","54,000","0","9","2015","여수울로 51","202606~202806","신규","-","","","아파트"
"82","경기도 성남시 중원구 도촌동","701","0701","0000","휴먼시아섬마을2단지(임대)","월세","36.9700","202604","22","2,152","18","10","2008","도촌남로 24","202605~202804","갱신","-","2,049","17","아파트"
"83","경기도 성남시 중원구 도촌동","707","0707","0000","휴먼시아섬마을8단지(임대)","월세","51.9600","202604","22","6,275","24","8","2008","도촌남로 134","202605~202804","갱신","-","4,643","30","아파트"
"84","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202604","22","27,000","0","4","1994","금상로 134","202606~202806","신규","-","","","아파트"
"85","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","전세","120.6000","202604","22","75,000","0","10","2012","시민로66번길 21","202607~202807","신규","-","","","아파트"
"86","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","전세","84.9100","202604","22","60,000","0","14","2003","둔촌대로 300","202609~202809","신규","-","","","아파트"
"87","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","전세","49.9800","202604","22","22,500","0","7","1993","황송로 6","202604~202804","갱신","사용","22,500","0","아파트"
"88","경기도 성남시 중원구 금광동","1001","1001","0000","e편한세상금빛그랑메종1단지","전세","59.9800","202604","22","58,000","0","14","2023","금광로 11","202605~202805","신규","-","","","아파트"
"89","경기도 성남시 중원구 도촌동","707","0707","0000","휴먼시아섬마을8단지(임대)","월세","51.9600","202604","21","7,275","32","4","2008","도촌남로 134","202605~202804","갱신","-","4,643","30","아파트"
"90","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","월세","59.9000","202604","21","39,000","40","19","2023","금광로 40","202605~202805","갱신","-","37,000","40","아파트"
"91","경기도 성남시 중원구 도촌동","701","0701","0000","휴먼시아섬마을2단지(임대)","월세","36.9700","202604","21","2,367","20","6","2008","도촌남로 24","202605~202804","갱신","-","2,254","19","아파트"
"92","경기도 성남시 중원구 도촌동","708","0708","0000","휴먼시아섬마을9단지(임대)","월세","51.9900","202604","21","4,875","32","8","2008","도촌남로 148","202605~202804","갱신","-","4,643","30","아파트"
